ReviewTitle,ReviewBody,ReviewStar,Product,Price,Brand,Model
"Seeking support from Amazon in warranty replacement
","Within a year one RH side speaker stopped working.
",5,JBL T110BT,2199.0,JBL,T110BT
"Thank you sooo much
","Very nice looking and feeling better
",5,JBL T110BT,2199.0,JBL,T110BT
"amazing
","Sound quality n battery backup.
",5,JBL T110BT,2199.0,JBL,T110BT
"Five Stars
","Nice product & working very well uptill now :)
",5,JBL T110BT,2199.0,JBL,T110BT
"Mic problem
","Problem with mic
",2,JBL T110BT,2199.0,JBL,T110BT
"good
","good audio quality
",5,JBL T110BT,2199.0,JBL,T110BT
"Worst product. Do not buy
","Very poor product. Was extremely dissatisfied with jbl. I was awestruck by the fact that it was extra bass while the bass in the earphone was underwhelming. Was exasperated when one of the earpieces did not work in a few months.
",1,JBL T110BT,2199.0,JBL,T110BT
"Three Stars
","This Product is good, but suddenly its stopped started working not switching on..
",3,JBL T110BT,2199.0,JBL,T110BT
"Excellent Bluetooth
","Excellent sound quality
",4,JBL T110BT,2199.0,JBL,T110BT
"average
","its original item but not base sound cancellation perfect and mic are also good
",4,JBL T110BT,2199.0,JBL,T110BT
"stopped working
","left side earplugs stopped working within 2 monts i need a replacement it has a warranty of 12 mounts
",1,JBL T110BT,2199.0,JBL,T110BT
"Good
","Excellent performance
",5,JBL T110BT,2199.0,JBL,T110BT
"battery life reduced to 10 minutes
","within three months battery life reduced to 10 mins , before it was 3-4 hours
",2,JBL T110BT,2199.0,JBL,T110BT
"One Star
","No bass sound
",1,JBL T110BT,2199.0,JBL,T110BT
"Poor quality
","I bought this product two months back... Now It is not working properly... Some noise comes along with the audio...
",1,JBL T110BT,2199.0,JBL,T110BT
"Hai
","Hai
",5,JBL T110BT,2199.0,JBL,T110BT
"Not good one
","Bad audio qualityWhile making call voice is not clearly audible
",1,JBL T110BT,2199.0,JBL,T110BT
"JBL Wireless earphones
","The durability may be increased a bit. And even the battery life. Over all budget Wireless earphones.
",3,JBL T110BT,2199.0,JBL,T110BT
"Good product
","Very good one
",5,JBL T110BT,2199.0,JBL,T110BT
"Five Stars
","Very fine quality and best bass go for it . Don't see negative reviews.
",5,JBL T110BT,2199.0,JBL,T110BT
"Good quality product
","Wonderful product, good quality
",5,JBL T110BT,2199.0,JBL,T110BT
"Hopeless
","Sound quality very bad
",1,JBL T110BT,2199.0,JBL,T110BT
"Three Stars
","Average
",3,JBL T110BT,2199.0,JBL,T110BT
"Voice Calling while speaking is so poor
","I'm highly  disappointed with this product .It works well if you want to use it just for listening songs using Bluetooth.But doesn't work well at all while speaking on call with somebody.Natural Bluetooth speaker arrangements on your neck will not allow your voice to reach to front person.
",1,JBL T110BT,2199.0,JBL,T110BT
"Best product @ 1980/-
","Good product,
",5,JBL T110BT,2199.0,JBL,T110BT
"FAKE PRODUCT
","No proper sound clarity.. this is not a Genuine product.. Amazon.. please do not sell such 1st copy products...
",1,JBL T110BT,2199.0,JBL,T110BT
"Superb
","Awesome
",5,JBL T110BT,2199.0,JBL,T110BT
"Good buy..
","Disconnects sometimes.But lovely sound quality for the price.
",4,JBL T110BT,2199.0,JBL,T110BT
"Good
","Good product
",4,JBL T110BT,2199.0,JBL,T110BT
"Poor Quality and Service
","It is very bad product...one ear phone not working and it also broked down in to pieces...They just mentioned warranty but you won't get that easily...customer support not responding properly.
",1,JBL T110BT,2199.0,JBL,T110BT
"Battery is faulty within one month.pls replace the device
","Battery is not working properly.pls help.pls change the device
",1,JBL T110BT,2199.0,JBL,T110BT
"product quality
","product Quality is Very bad and Product is not worth able
",2,JBL T110BT,2199.0,JBL,T110BT
"Good quality
","Nice and good quality
",5,JBL T110BT,2199.0,JBL,T110BT
"One Star
","Not good
",1,JBL T110BT,2199.0,JBL,T110BT
"Battery backup is too bad
","Battery backup is too bad, hardly one hour
",2,JBL T110BT,2199.0,JBL,T110BT
"Poor quality
","Poor battery life
",2,JBL T110BT,2199.0,JBL,T110BT
"Disappointed with the product
","I've received an old product in which one wasn't even working. Also, there was no charging cable.
",1,JBL T110BT,2199.0,JBL,T110BT
"Poor quality!!
","Sound quality is ok ok.. after using it for 1 month I heard some disturbance while operating on phone or taking a call. Not durable for long run
",1,JBL T110BT,2199.0,JBL,T110BT
"Nice
","Nice Product
",5,JBL T110BT,2199.0,JBL,T110BT
"Disappointed!
","Purchased it 3 weeks back. And now it's not working. Disappointed with product.
",1,JBL T110BT,2199.0,JBL,T110BT
"Ausome
","Product is ausome but required little care
",5,JBL T110BT,2199.0,JBL,T110BT
"Best buyed till now
","Worth to the money
",5,JBL T110BT,2199.0,JBL,T110BT
"Superb product...
","Superb product and pure bass......
",5,JBL T110BT,2199.0,JBL,T110BT
"Don't buy this absolutely fake
","Fake productMy left speaker suddenly stopped.
",1,JBL T110BT,2199.0,JBL,T110BT
"Awesome
","Nice headset ...sounds really nice...must buy
",4,JBL T110BT,2199.0,JBL,T110BT
"lovely to listen from jbl
","its very useful while travelling in crowded places
",5,JBL T110BT,2199.0,JBL,T110BT
"Dont Charge If you Dont Serve
","Worst. Gift wrapping not done, but the charge has been included. Really disappointed.
",1,JBL T110BT,2199.0,JBL,T110BT
"Such a low class Bass and worst clarity I never faced from JBL
","Such a low class Bass and worst clarity I never faced from JBL. I do have the same JBL T110 model without Bluetooth which is 10times better so I opted for this but I dnt knw y this is very disgusting low class quality.Small starting series of JBL is much much better than this piece.Am very much interested in Bluetooth model but I am unable to convince with this low class sound output.Believe me such a worst quality sound u will feel very dissatisfied if u purchase.
",1,JBL T110BT,2199.0,JBL,T110BT
"Its not even been 2 months and my earphones are ...
","Its not even been 2 months and my earphones are not working properly. It keeps on getting disconnect. Sometimes it doesn't even get turn ON or OFF.
",1,JBL T110BT,2199.0,JBL,T110BT
"Good Product
","Go for it
",4,JBL T110BT,2199.0,JBL,T110BT
"Not worth the price
","I woudnâ??t recommend anybody buying this product. The sound is shrill and there is no bass. And the USB cable that comes with it for charging the device is way too shady.
",1,JBL T110BT,2199.0,JBL,T110BT
"good
","good quality
",5,JBL T110BT,2199.0,JBL,T110BT
"Jbl or Nothing
","It's simply superb.Once u start using it u will never go for other brands.Battery,sound quality everything is awesome.
",5,JBL T110BT,2199.0,JBL,T110BT
"Don't buy
","At 4 months since our purchase, there's now no sound output from either of the earphone pod!!! Useless..
",1,JBL T110BT,2199.0,JBL,T110BT
"Replacement request
","The above Bluetooth headset bought by me has stopped working.
",1,JBL T110BT,2199.0,JBL,T110BT
"Got it replaced
","The sound is Good.Bass is good but treble is also high.I got it replaced the earlier product didn't have bass to it but the replaced headphone is good.Call quality is on average side but I didn't buy it for that so no issue for me.If anyone get headphone with more treble than base just replace it.
",5,JBL T110BT,2199.0,JBL,T110BT
"Good Earphones
","What i dont like in this earphone is length of the wire....its too lengthy....so for exercise it actually irritates you
",4,JBL T110BT,2199.0,JBL,T110BT
"Bad Quality.
","This was not a genuine product very upset with amazon..same product with same sound quality i had seen on road worth Rs 499.....i always buy from amazon..but this time amazon just break my trust...i only use JBL earphones..so in know the sound quality ...please don't do this.
",1,JBL T110BT,2199.0,JBL,T110BT
"Simply Superb
","Would suggest to those who wear T-shirts more often than Shirts. Will take some time to adjust but are adorable and worth your money.
",5,JBL T110BT,2199.0,JBL,T110BT
"Donâ??t buy
","Fake product
",1,JBL T110BT,2199.0,JBL,T110BT
"Good for short journey or Calling
","Everything is fine but battery is not long lasting. I have got 5-6 hour battery in hole day
",4,JBL T110BT,2199.0,JBL,T110BT
"Four Stars
","Osm Bass
",4,JBL T110BT,2199.0,JBL,T110BT
"disappointed
","device quality is good... but sound is bad... no bass as mentioned... voice also not good
",2,JBL T110BT,2199.0,JBL,T110BT
"Sub standard product
","Poor sound quality - lacks clarity and is no better than wired earphones worth 500 bucks
",2,JBL T110BT,2199.0,JBL,T110BT
"VERY NICE
","As per my expectations
",5,JBL T110BT,2199.0,JBL,T110BT
"Good.
","Jbl pure sound. Good.
",4,JBL T110BT,2199.0,JBL,T110BT
"Sound quality is good
","Very nice
",4,JBL T110BT,2199.0,JBL,T110BT
"Good Quality product
","Could get the Battery life for around 4 to 5 hours.Visible Battery status (appeared in the mobile while connected) is different from the original.
",5,JBL T110BT,2199.0,JBL,T110BT
"Worth money..
","Excellent sound..Some problem found while speaking. Not Everytime.!Go for it..
",5,JBL T110BT,2199.0,JBL,T110BT
"Poor durability
","Volume of left earphone drastically reduced after using it for a month
",3,JBL T110BT,2199.0,JBL,T110BT
"Superb all over.
","Fantastic! Go for it blindly!
",5,JBL T110BT,2199.0,JBL,T110BT
"Not worth to buy.
","Didn't even last for a year.Durability is least.The right earpiece broke (Thanks to my nephew)If taken care with proper care might last for 2 years(max).We have two in our house.One had to be replaced again due to non functioning of one side.The other one is the one I'm reviewing.Sound quality was top notch though.Battery backup is decent with 4-5 hours of continuous playback.Charging to 100% takes more than an hour.Verdict- Don't buy this crap, spend some more rupees and get a better quality one.
",2,JBL T110BT,2199.0,JBL,T110BT
"Awesome
","Loved it.
",5,JBL T110BT,2199.0,JBL,T110BT
"But it for the best sound experience in headphones!
","I liked it the moment I used it for the first time! Definitely recommend to purchase!
",4,JBL T110BT,2199.0,JBL,T110BT
"Jbl
","Awesome product
",5,JBL T110BT,2199.0,JBL,T110BT
"Pic mistake
","Product not playing for one headphones
",4,JBL T110BT,2199.0,JBL,T110BT
"Sound is not as per JBL you may try others like boat etc in same price
","I have to use external bass booster to listen music... Battery backup is good.
",3,JBL T110BT,2199.0,JBL,T110BT
"Please don't purchase, totally waste of money
","This is the worst product I've used till now. Even 1 star is too much for this product. I want to give it-5 star.Over pricedPoor quality(likes 200 rs headphone)Once you purchase it, you will have no option to return it. Forcefully you've to use it.Please do not purchase it.
",1,JBL T110BT,2199.0,JBL,T110BT
"Overpriced for it's quality
","It is an ok product but not worth its price. Sometimes Bluetooth gets disconnected.
",3,JBL T110BT,2199.0,JBL,T110BT
"Fake seller missing headphones in the box
","Fake seller  I have purchased jbl bt head phone but in the box head phones are missing box contains only 1usb plug and 2pairs of ear tips only
",1,JBL T110BT,2199.0,JBL,T110BT
"Improve it's sound
","No base
",1,JBL T110BT,2199.0,JBL,T110BT
"One Star
","Battery issue
",1,JBL T110BT,2199.0,JBL,T110BT
"ð???ð???ð???
","Not happy with the sound ð???ð???ð???
",1,JBL T110BT,2199.0,JBL,T110BT
"Good Bluetooth headphone
","It is a very good Bluetooth headphone.  Itâ??s quality is very good and durable also.Great product with the great company.
",4,JBL T110BT,2199.0,JBL,T110BT
"sound
","best
",2,JBL T110BT,2199.0,JBL,T110BT
"stopped working
","worked well for 6 months and then one day just stopped working. sad. :( how do I get a replacement?
",1,JBL T110BT,2199.0,JBL,T110BT
"Good Product
","Excellent product for the said price â?¹1999/-. Working Fine.
",5,JBL T110BT,2199.0,JBL,T110BT
"Good Product
","Good one
",5,JBL T110BT,2199.0,JBL,T110BT
"Bad product
","Left side stopped functioning after a month.
",1,JBL T110BT,2199.0,JBL,T110BT
"Bass could have been better rest a VFM product
","Bouggt it for daily use. Bass could have been better rest a VFM product that's why I bought it !
",4,JBL T110BT,2199.0,JBL,T110BT
"Expensive for that price
","Sound quality not so good. Battery is average
",3,JBL T110BT,2199.0,JBL,T110BT
"Worth
","Good
",5,JBL T110BT,2199.0,JBL,T110BT
"It is too waste.
","It is too waste. It life is only 20 days.
",2,JBL T110BT,2199.0,JBL,T110BT
"I want a Replacement
","The Sound quality is Good... But after some days 2months of using it starts to give trouble... Like it'll disconnect without any reason after few seconds it'll reconnect... It won't support or connect while playing games.... Decrease in battery life....
",4,JBL T110BT,2199.0,JBL,T110BT
"Quality is not good
","Right side of it is not working after few months.Even my friends are also facing the same problem.
",3,JBL T110BT,2199.0,JBL,T110BT
"Noise cancellation
","No noise cancellation in the headset with week battery backup
",4,JBL T110BT,2199.0,JBL,T110BT
"Replacement
","Was quit worried about my replacement.. thanks a lot amazon
",5,JBL T110BT,2199.0,JBL,T110BT
"One Star
","WORST PRODUCT
",1,JBL T110BT,2199.0,JBL,T110BT
"Superb
","Very good product
",4,JBL T110BT,2199.0,JBL,T110BT
"Finally found it.
","After having troubled with other BTs. Fortunately found an earphone which supasses my expectations giving the price brand. And look its from JBL. What else do want?Superb sound, bass quality is good. Sound is perfect. Either go for it or increase your wallet expense.They don't provide any pouch for carrying it but that should not discourage you from buying it.
",5,JBL T110BT,2199.0,JBL,T110BT
"Worst sound quality
","Worst quality of sound.  No bassSounds like cheep earphones
",1,JBL T110BT,2199.0,JBL,T110BT
"Bass
","Not much bass
",3,JBL T110BT,2199.0,JBL,T110BT
"low quality...
","sound is very low quality like as 150 earephone...
",2,JBL T110BT,2199.0,JBL,T110BT
"Highly recommended
","Supurb ear piece, totally worth
",5,JBL T110BT,2199.0,JBL,T110BT
"value for money
","sound quality is too good
",5,JBL T110BT,2199.0,JBL,T110BT
"Not a JBL quality product...
","Looks and color are not as it seems in picture...
",2,JBL T110BT,2199.0,JBL,T110BT
"Good one
","Got it on time and is very fine as of now...!
",5,JBL T110BT,2199.0,JBL,T110BT
"Battery discharging rapidly!
","After 5 months of use, it's battery discharging rapidly.!. Like in 10 mins!Too bad! I need  a replacement!Looking for Amazon customer care number
",1,JBL T110BT,2199.0,JBL,T110BT
"So how can I get help from customer care
","Very cheap quality ,it's working only one speaker
",1,JBL T110BT,2199.0,JBL,T110BT
"Four Stars
","Good bt Base is so so.... Not good
",4,JBL T110BT,2199.0,JBL,T110BT
"Life of the earphone might not be long.
","Sounds quality is good.noise cancellation not upto the mark as expected.Battery life is good.The microphone is somewhat placed slightly far, so you need to always pull forward to make sure the opposite person hears or speak louder.And the microphone stopped working completely in only 5 months, with no evident reason.Got it replaced, let's see the life of this now.
",3,JBL T110BT,2199.0,JBL,T110BT
"Not worth.... Definitely not for running ...
","Not worth.... Definitely not for running... Am using it but it keep disconnecting while running. Sound quality is OK not more than that.
",2,JBL T110BT,2199.0,JBL,T110BT
"Nice but could be better
","Good but could be better
",4,JBL T110BT,2199.0,JBL,T110BT
"Not working
","Not working after 3 months ..
",1,JBL T110BT,2199.0,JBL,T110BT
"Not a good option.
","Earphones are good as far as they are working properly, once you found any problem in it than you can not count on customer support or service centre,they will procrastinate things till then you forget about them.
",1,JBL T110BT,2199.0,JBL,T110BT
"Dont buy..... no warranty by service centres
","Sound is good durable cable and Bluetooth connectivity is good.... battery perfect
",5,JBL T110BT,2199.0,JBL,T110BT
"Its not even 9 months, not working now. Not a good product
","Its not good. Its not being even 9 months, its not working already.
",1,JBL T110BT,2199.0,JBL,T110BT
"Need customer support helpline no
","One of the earphn has stopped working abruptly.....need customer support
",1,JBL T110BT,2199.0,JBL,T110BT
"Quality Product
","For all Music Lovers and the Ones who receive lot of Phone Calls.Battery lasts for 2 Days.
",5,JBL T110BT,2199.0,JBL,T110BT
"Wrost Experience
","The wrost products ever.calling quality is very poor.first time purchase jbl products  but so dissapointed...ð??¡ð??¡ð??¡ð??¡
",1,JBL T110BT,2199.0,JBL,T110BT
"Suggest not to buy
","I bought this after my motorola verve loop plus stopped working. The sound quality is good with average battery life. Thr left earpiece stopped working after 2-3 days of use so returned.
",3,JBL T110BT,2199.0,JBL,T110BT
"Average headphones
","Bass quality is not that good and sometimes  talking through headphones while driving, voice is not clear, lot of disturbance comes
",2,JBL T110BT,2199.0,JBL,T110BT
"Sound quality
","No bass
",1,JBL T110BT,2199.0,JBL,T110BT
"Four Stars
","The earphones are good and met my expectations.
",4,JBL T110BT,2199.0,JBL,T110BT
"Costly
","Costly
",3,JBL T110BT,2199.0,JBL,T110BT
"Not good
","Not good
",1,JBL T110BT,2199.0,JBL,T110BT
"Worth Rs 1000
","Sound quality is by the name of jbl. Battery life s not that good 3 to 4 hours usage and  fuss .. durability is also good .
",2,JBL T110BT,2199.0,JBL,T110BT
"Most useful
","I m loving it
",4,JBL T110BT,2199.0,JBL,T110BT
"Poor durability
","Quality, one speaker not working with in 6 month. Very bed
",1,JBL T110BT,2199.0,JBL,T110BT
"Worst product
","Not a worthy product !It's not even 3 months of buying this item and one side of the earphone stopped working.
",1,JBL T110BT,2199.0,JBL,T110BT
"It's not durable.
","It stopped working in 3 months. And when I contacted Amazon they gave me all wrong numbers of the manufacturer. I need to replace it and I can't find anything around my area to help me out.
",1,JBL T110BT,2199.0,JBL,T110BT
"It's battery backup is good
","In one word it's awesome
",5,JBL T110BT,2199.0,JBL,T110BT
"What about this item repair or exchange
","It is not good. Not working after 10 DAYS.
",1,JBL T110BT,2199.0,JBL,T110BT
"Good quality
","Unable take calls
",4,JBL T110BT,2199.0,JBL,T110BT
"Good product
","Good product
",5,JBL T110BT,2199.0,JBL,T110BT
"Fabulous
","Awesome earphones. JBL has high quality sound.
",5,JBL T110BT,2199.0,JBL,T110BT
"Jbl I received is first copy product
","The product is not working as it don't detect to my phone honor 6x and not playing music in it . you can't use it as regular ear phones, while using right ear is painful on continuously usage.
",1,JBL T110BT,2199.0,JBL,T110BT
"Good purchage
","Sound quality and battery life is good. But wire is too long, that holding of ear phone in ear is poor. It bacame out from ear by its own weight of earphone on movement of body or on gyming, running. Not good for gyming.
",4,JBL T110BT,2199.0,JBL,T110BT
"Can't use for playing Games, lots of sound breaking
","The device creates a horrible sound when mic is on while playing games like PUBG on mobile. Also, sometimes it is getting lots of voice cut during playing songs. Sound quality is ok.
",2,JBL T110BT,2199.0,JBL,T110BT
"Good
","Sound quality is good, battery life is poor, durability is bad
",5,JBL T110BT,2199.0,JBL,T110BT
"Good products for watching videos
","Bluetooth contacts missing
",5,JBL T110BT,2199.0,JBL,T110BT
"Average Earphones
","His Quality of product is good 3/5half  and Sound is average normal bass not high I am bass lover and Music lover in this price In over all I give 3/5 U r music and bass lover don't buy this earphones Go another one It's average earphones JBL plzz improve ur product
",2,JBL T110BT,2199.0,JBL,T110BT
"Poor quality
","Only one eyer bud working
",1,JBL T110BT,2199.0,JBL,T110BT
"No 3d sound support, low bass and very low volume
","1 Does not support 3d sound2 Bass is low3. If you like high volume then this is not a good choice
",1,JBL T110BT,2199.0,JBL,T110BT
"Quite comfortable in the ears too
","Though bass quality is not upto the jbl standards, itâ??s a decent buy. Quite comfortable in the ears too. Satisfied.
",4,JBL T110BT,2199.0,JBL,T110BT
"Poor
","I m use this from 12.1.19 to till now 29.5.19 it's not even complete 6month but I face many problems with today(29.5.19) its totally death(it stop Its working) i never suggest this to anyone. It has a replacement warranty for one year but service center is only in Chennai
",1,JBL T110BT,2199.0,JBL,T110BT
"Sound Quality
","Why am I not able to speak through the mic in this headphones. They are not working? I connected and disconnected it trying to fix the problem but in vain. Does anyone know how to connect the mic.?
",1,JBL T110BT,2199.0,JBL,T110BT
"Worst product from jbl
","Worst headphone because I used it only for one month and now it's not getting switch on...
",3,JBL T110BT,2199.0,JBL,T110BT
"All the best to team amazon
","It's ok. Not as good as expectedStill I trust amazon
",4,JBL T110BT,2199.0,JBL,T110BT
"Five Stars
","Nice product. Very good sound quality.
",5,JBL T110BT,2199.0,JBL,T110BT
"Superb product
","Fantastic
",5,JBL T110BT,2199.0,JBL,T110BT
"Sound is low
","Sound is not proper
",1,JBL T110BT,2199.0,JBL,T110BT
